format	download_at	full_price	name	publisher	release_date	pages	dimensions	ISBN-10	ISBN-13	customers_review	about	height	width	depth
CAPA COMUM	2024-04-08T21:33:44.189368	74.9	Confins de um Sonho (Mangá Volume Único)	PIPOCA E NANQUIM	2023-02-24	300	15 x 5 x 22 cm	6554480447	978-6554480444	4.9	O tempo está para acabar. Só o que resta é o passado.2018. Kiyoko Ito e Mitsu Sonoda são duas velhas amigas que, aos 85 anos, se reencontram para colocar a conversa em dia. Elas logo começam a pensar no rumo que teriam tomado caso tivessem se apaixonado uma pela outra em uma época em que o relacionamento entre mulheres não fosse um tabu — e o único destino socialmente aceito para uma mulher não fosse o de se casar com um homem.Porém, Kiyoko sofre de um transtorno neurodegenerativo. Sua mente começa a regredir pelas décadas anteriores, passando por diferentes fases dos encontros e desencontros entre elas, pelas promessas feitas e quebradas. Ela volta até setenta anos atrás, quando ambas se conheceram ainda adolescentes, em 1948, na época do pós-guerra. E seu maior medo é se esquecer de Mitsu e de como o amor entre elas quase as levou a uma atitude extrema.Confins de um Sonho é o primeiro mangá de demografia Josei (voltada para o público feminino adulto, no Japão) e gênero Yuri (de relações homoafetivas entre mulheres) lançado pela editora Pipoca & Nanquim. Originalmente, foi publicado pela revista Feel Young entre os anos de 2018 e 2020, e depois compilado em dois volumes pela editora Shodensha. Agora, o Brasil terá essa sensível e trágica história de amor em um lindo volume único!A autora, Yumi Sudo, vem despontando no Japão como uma das grandes contadoras de histórias da nova geração. Suas obras se destacam por abordarem assuntos controversos de maneira lírica e fazer uso de elementos oníricos e fantásticos com um toque de nostalgia e poesia, resgatando emoções às vezes esquecidas no coração dos leitores.O mangá tem o tradicional formato luxuoso do selo Drago, com capa cartão de alta gramatura e verniz localizado, sobrecapa, miolo colado e costurado, 300 páginas impressas em papel pólen bold 90g, marcador exclusivo e biografia da autora. Leia mais	22.0	15.0	5.0
CAPA COMUM	2024-04-09T09:08:29.295633	86.9	Frankenstein E Outras Histórias De Horror, De Junji Ito	PIPOCA E NANQUIM	2021-11-2	412	15 x 22 x 3 cm	6589912416	978-6589912415	4.9	Uma das melhores obras do mestre dos mangás de horror Junji Ito, ganhadora do Prêmio Eisner em 2019, chega ao Brasil em sua versão completa com mais de 400 páginas, com a história Frankenstein acompanhada dos demais contos bizarros da edição original japonesa. E você nunca viu uma versão tão perturbadora desse clássico mundial do terror! Frankenstein, romance escrito por Mary Shelley e publicado em 1818, conquistou o público desde o seu lançamento e se consolidou como uma obra-prima da literatura, povoando o imaginário e servindo de referência para diversas histórias até a atualidade. A saga do ambicioso Victor Frankenstein, que dá vida a uma criatura monstruosa feita de cadáveres para se aproximar do patamar de Deus por meio da ciência, também inspirou o aclamado autor de mangás Junji Ito a adaptá-la para os quadrinhos entre 1994 e 1998, com seu traço e narrativa que destacam o grotesco. Sua versão também foi um sucesso, considerada pela crítica como uma das melhores já feitas dessa história e agraciada em 2019 com o Prêmio Eisner de Melhor Adaptação de Outra Mídia. Nesta edição luxuosa da editora Pipoca & Nanquim, está inclusa a série de contos de Toru Oshikiri, um rapaz que pode se apresentar como diferentes personagens, mas sempre envolvido em situações bizarras com seus colegas e sua própria casa... O tormento de um casal e sua filha em “Funeral da Boneca do Inferno”, um simples exame médico se transformando no pesadelo de “Imobilizador Facial” e os episódios leves e cotidianos da cachorrinha Non-non, a Chefona, que trazem a faceta mais cômica do mangaká. Volume impresso em papel polén bold de alta gramatura, com acabamento colado e costurado para melhor manuseio durante a leitura, e que acompanha sobrecapa e marcador de páginas. Leia mais	22.0	15.0	3.0
CAPA COMUM	2024-04-08T21:33:48.493313	89.9	Roseira, Medalha, Engenho E Outras Histórias (Reimpressão)	PIPOCA E NANQUIM	2022-11-24	224	22 x 5 x 29 cm	655448051X	978-6554480512	4.8	Baseado em lembranças coletivas e individuais, na oralidade, e em contos e “causos” que são passados de geração em geração, Roseira, Medalha, Engenho e Outras Histórias é um relato emocionante sobre a luta de pessoas reais vivendo uma vida duramente real. Acompanhe a trajetória de duas famílias às voltas com suas diferenças, tragédias e comédias, sonhos e perspectivas, construindo a sua história no sertão nordestino durante o movimento retirante da década de 1970. Ao introduzir um Brasil bem diferente daquele que se vê nas áreas urbanas, permeado pelo cangaço e negligenciado pelos que detêm mais privilégios, este quadrinho pinta com cores fortes e exuberantes muitas das características nordestinas tradicionais, como o folclore, os engenhos de cana de açúcar, os “cabras machos”, a busca por rastros e pegadas de uma herança ancestral e as relações humanas que se desenvolveram em torno da cultura que ali se estabeleceu.Lançado originalmente em 2019, Roseira, Medalha, Engenho e Outras Histórias rapidamente se tornou um dos quadrinhos mais ovacionados e premiados do Brasil: foi vencedor do Troféu HQMIX 2020 nas categorias Melhor Edição Especial, Melhor Desenhista e Melhor Roteirista Revelação. Também foi finalista do Prêmio Jabuti 2020.Esta nova edição contém a obra na íntegra, com 224 páginas em cores, papel pólen de alta gramatura, capa cartão e marcador de página exclusivo. Leia mais	29.0	22.0	5.0
CAPA COMUM	2024-04-09T09:08:33.147629	86.9	Tomie Volume 1 de 2	PIPOCA E NANQUIM	2021-10-10	376	22 x 15.2 x 3.2 cm	6586672376	978-6586672374	4.9	Podem matá-la quantas vezes quiserem, que ela ainda assim ressurgirá neste mundo, mais bela do que nunca. Ninguém sabe ao certo quem ou o que ela é, mas uma coisa é certa: se você se deparar com Tomie Kawakami, seu destino estará selado. E ele não poderia ser mais aterrador. Por trás de um rosto fascinante, realçado por uma única pinta debaixo do olho esquerdo, esconde-se um mal terrível. Um mal sedutor, capaz de enfeitiçar os homens e levá-los a cometer o mais hediondo dos atos: o assassinato. Mas como explicar o fato macabro de que a vítima desse instinto homicida é a própria Tomie? Eles a matam, matam e matam, mas o mundo nunca estará livre de Tomie. Deixando um rastro de loucura e cadáveres, essa misteriosa beldade morrerá e matará incontáveis vezes. Serializada originalmente no Japão de 1987 a 2000, esta é a primeira obra do mestre dos mangás de horror Junji Ito, vencedora do prêmio Kazuo Umezu, em 1989, e tida como uma das mais influentes de seu gênero no Japão. Desde o seu lançamento, Tomie gerou um culto de fervorosos fãs e foi adaptada para nove filmes, com mais um em produção, e até hoje é elogiada por críticos em todos os países onde é republicada. O mangá agora é apresentado aos brasileiros em uma coleção fechada em dois volumes de 376 páginas, com ilustrações de capa das edições japonesas da The Junji Ito Collection Masterpiece, sobrecapa com verniz localizado, papel polén de alta gramatura, miolo colado e costurado para o melhor manuseio na leitura, e marcadores de página diferentes em cada edição. Uma obra obrigatória para todos os colecionadores de quadrinhos. Leia mais	22.0	15.2	3.2
CAPA DURA	2024-04-08T21:33:52.213265	149.9	Conan, o Cimério – Edição Definitiva (volume 2)	PIPOCA E NANQUIM	2022-10-20	252	23 x 6 x 31 cm	6586672848	978-6586672848	4.9	Conan, o mais notório herói criado pelo cultuado escritor Robert Erwin Howard, é o astro da coleção de quadrinhos franceses Conan, o Cimério, trazida ao Brasil pela Pipoca & Nanquim em versão definitiva, que reúne quatro histórias por edição.Lançadas originalmente pela editora Glénat, estas aventuras do bárbaro apresentam releituras dos contos do personagem, inicialmente imortalizados nas páginas da lendária revista pulp Weird Tales, e, posteriormente, lançados como livros e compilações em formatos variados.Cada volume francês é produzido por uma equipe criativa diferente, que, em sua totalidade, compreende os artistas mais talentosos de sua geração, portanto esta é a oportunidade perfeita para mergulhar no rico universo da Era Hiboriana pela primeira vez ou revisitá-lo por meio de novos olhares.Esta segunda edição definitiva reúne mais quatro volumes publicados na França: A Cidadela Escarlate, de Luc Brunschwig e Etienne Le Roux, que mostra o rei Conan sendo traído por nobres da corte e destituído do trono da Aquilônia; Sombras de Ferro ao Luar, de Virginie Augustin, em que o cimério e a princesa Olívia enfrentam uma ameaça sobrenatural em uma ilha distante; Pregos Vermelhos, de Régis Hautière, Olivier Vatine e Didier Cassegrain, que mostra o primeiro e único encontro entre Conan e a pirata Valéria escrito por Howard; e As Negras Noites de Zamboula, de Gess, onde o cimério é envolvido em uma sórdida trama de feitiçaria, que pode significar seu fim.Conan, o Cimério – Edição Definitiva Vol. 2 tem formato 23 x 31 cm, capa dura, 252 páginas coloridas e uma galeria de extras com textos, ilustrações e esboços sobre a criação da série. Uma verdadeira ode ao gênero Espada & Feitiçaria! Leia mais	31.0	23.0	6.0
CAPA DURA	2024-04-08T21:33:56.261214	64.9	A Polícia Secreta Para Crimes Mágicos (livro volume único)	PIPOCA E NANQUIM	2022-08-31	280	14 x 4 x 21 cm	6589912122	978-6589912125	4.6	O livro vencedor do 1º Prêmio Geek de Literatura, uma iniciativa Amazon, Pipoca & Nanquim e Omelete!A jovem Agnes tem uma vida mundana. Entre ter de lidar com os dilemas da adolescência e com a dificuldade de crescer com sua mãe internada em uma instituição, ela estuda para os exames do colégio, se diverte com um grupo de amigos e sonha com sua festa de quinze anos de idade.Exceto que Agnes está longe de ser mundana. E que o indígena Guaraci, seu amigo imaginário, talvez não seja tão imaginário assim. E que as tradições judaicas de sua família provavelmente vão além de meras cerimônias religiosas e envolvem a poderosa magia da cabala.Quando um brutal e misterioso assassino começa a matar adolescentes na cidade de Belo Horizonte, Agnes se vê no epicentro de uma trama contundente que envolve magia, multiverso, criaturas mitológicas, outras realidades e uma instituição mística que luta para salvar o mundo das garras do mal.Com influências de J.K. Rowling, Terry Pratchett e Rick Riordan, A Polícia Secreta Para Crimes Mágicos é uma eletrizante aventura de crime e mistério, ambientada em um mundo onde a magia dos povos antigos se funde à realidade do mundo contemporâneo.O livro é apresentado em uma edição caprichada, com capa dura, verniz localizado e 280 páginas em papel pólen soft. Leia mais	21.0	14.0	4.0
CAPA COMUM	2024-04-08T21:33:59.729170	84.9	A Valise do Professor (Mangá Volume Único)	PIPOCA E NANQUIM	2022-08-15	436	15 x 5 x 22.7 cm	6586672937	978-6586672930	4.8	A adaptação em mangá do premiado romance A Valise do Professor, um dos mais prestigiosos do Japão, pelas mãos do mundialmente renomado Jiro Taniguchi!A metrópole de Tóquio oferece um cotidiano estável e sem grandes sobressaltos para Tsukiko Omachi, uma mulher de 37 anos que leva a vida de solteira entre o trabalho no escritório e uma rotina solitária. Certo dia, em uma de suas idas a um bar que frequenta, reencontra um antigo professor dos tempos de ensino médio, com quem começa a dividir os drinques e petiscos. Aos poucos, a casualidade evolui para um relacionamento repleto de pequenas descobertas e, à medida que Tsukiko conhece mais sobre seu amigo trinta anos mais velho, a diferença de idade começa a se diluir, apesar dos olhares alheios de reprovação.O livro homônimo que deu origem a este mangá, lançado em 2001 por Hiromi Kawakami, uma das escritoras japonesas mais lidas da atualidade, cativa por sua prosa elegante e enxuta, e ganhou o Prêmio Tanizaki de literatura de ficção. A versão em quadrinhos de Jiro Taniguchi saiu serializada originalmente entre 2008 e 2009, e depois foi encadernada em duas edições pela editora Futabasha, que chegam agora ao Brasil em uma caprichada edição definitiva.O romance também foi adaptado para filme televisivo em 2003, dirigido por Teruhiko Kuze, e para uma peça musical composta por Tasuhiro Kobayashi, e dirigida por Teruhiko Kuze em 2005, e Nozomi Makino em 2010.O mangá tem 436 páginas em papel pólen bold de alta gramatura, incluindo algumas coloridas, em acabamento de miolo colado e costurado, que garante mais durabilidade e melhor manuseio, com sobrecapa, capa com verniz localizado e marcador de página exclusivo. Leia mais	22.7	15.0	5.0
CAPA COMUM	2024-04-08T21:34:03.657120	59.9	Hotel Harbour-View: TOKYO KILLERS (Mangá Volume Único)	PIPOCA E NANQUIM	2022-07-29	212	15.5 x 5 x 22.7 cm	6586672864	978-6586672862	4.6	Em uma Tóquio de clima noir, testemunhamos momentos decisivos na vida de figuras solitárias em conflito com seu envolvimento no crime organizado, belas femme fatale e duelos de tirar o fôlego!Tudo isso em breves contos que acompanham personagens em busca de um sentido para a vida (ou morte), vingança pura e brutal ou um desfecho para um antigo amor em um mundo de violência. E como seria uma história da Yakuza, a “máfia japonesa”, sob o olhar de um estrangeiro? O que essa sensibilidade fora do senso comum japonês destacaria?Esta coletânea de cinco histórias, com assassinos, criminosos e homens atormentados pelo passado, é fruto da parceria entre o consagrado e multipremiado autor de mangás Jiro Taniguchi, com sua faceta de traços mais viscerais e em sintonia com os filmes de ação dos anos 1980, e o escritor Natsuo Sekikawa, autor também premiado no Japão, que trabalhou bastante com Taniguchi nas décadas de 1970 e 1980.Publicado originalmente pelo selo Action Comics da editora Futabasha, em 1986, este mangá chega ao Brasil em uma estonteante edição em preto e branco, com um capítulo inteiro colorido! São 212 páginas em papel pólen bold de alta gramatura, em acabamento de miolo colado e costurado, que garante mais durabilidade e melhor manuseio, com sobrecapa, capa com verniz localizado e marcador de página exclusivo. Leia mais	22.7	15.5	5.0
CAPA COMUM	2024-04-08T21:34:06.869079	82.9	Um Bairro Distante (Mangá Volume Único)	PIPOCA E NANQUIM	2022-06-30	412	15.5 x 5 x 22.7 cm	6586672929	978-6586672923	4.9	A maior obra-prima de Jiro Taniguchi, um dos autores de mangás mais premiados do Japão, admirado e respeitado no mundo todo, chega ao Brasil em um luxuoso volume único da editora Pipoca & Nanquim.Hiroshi Nakahara faz uma viagem de negócios a Quioto, mas, sem querer, pega o trem expresso na direção contrária e vai parar em sua terra natal, Tottori. Enquanto espera o próximo trem de volta a Tóquio, onde atualmente mora, ele aproveita para visitar o túmulo de sua mãe, onde perde a consciência. Ao despertar, Nakahara está 34 anos no passado, em pleno início da década de 1960! No corpo e na época dos seus 14 anos de idade, mas com a cabeça de 48, ele interage com sua família e colegas de escola sob uma nova perspectiva, ora matando a saudade de tudo, ora sentindo-se como um estranho no próprio ninho, exatamente no ano em que seu pai desaparecera...Um Bairro Distante (em japonês, Harukana Machie) foi publicado originalmente na revista Big Comic, da editora Shogakukan, entre 1998 e 1999, e é considerado por muitos críticos e leitores como o principal trabalho da carreira de Jiro Taniguchi. Ganhou o prêmio de excelência do 3º Japan Media Arts Festival, em 1999, na categoria Mangá, e venceu o Prêmio de Melhor Roteiro no Festival de Angoulême, em 2003, na França. A obra também foi adaptada para um filme live-action de produção europeia em 2010, pelo diretor belga Sam Garbarski.Agora, o mangá chega ao Brasil em uma belíssima edição definitiva, a única fora do Japão a trazer todas as páginas coloridas da época da publicação original. O mangá tem 412 páginas em papel pólen bold de alta gramatura, capa com verniz localizado, sobrecapa, marcador de página exclusivo e acabamento de miolo colado e costurado, que garante mais durabilidade e melhor manuseio. Leia mais	22.7	15.5	5.0
CAPA COMUM	2024-04-08T21:34:10.665031	76.9	Spectreman Volume 4 de 4 (Mangá Oficial)	PIPOCA E NANQUIM	2022-06-8	428	22 x 15.5 x 6 cm	6586672988	978-6586672985	4.9	A celebração de 50 anos de um herói que ultrapassou gerações combatendo monstros gigantes. Spectreman, um clássico absoluto do tokusatsu (gênero que designa as produções japonesas com efeitos especiais), lançado para a televisão originalmente em 1971, foi exibido com muito sucesso no Brasil entre os anos de 1980 e 1991, e apresentou ao público tramas com altas doses de ficção científica e preocupações ecológicas, em meio à constante ameaça de kaijus (como são chamados os monstros gigantes no Japão) e lutas repletas de poderes extravagantes. Concebido por Souji Ushio (pseudônimo de Tomio Sagisu), criador da série e veterano na concepção de roteiros de mangás, animês e tokusatsu, entre eles os de Magma Taishi e Lion-Maru (batizados de Vingadores do Espaço e Lion Man em solo brasileiro), e desenhado por Daiji Kazumine, consagrado artista que adaptou para quadrinhos diversos personagens famosos da TV, como Ultraman, Ultraseven, National Kid, Super Giant, King Kong e Godzilla, este mangá do ciborgue de Nebula 71 foi publicado no Japão paralelamente à exibição do seriado, contando tanto histórias adaptadas de alguns dos episódios quanto outras inéditas. Esta é a primeira vez que a versão integral das aventuras oficiais de Spectreman em mangá é lançada no Brasil, 40 anos após sua estreia neste país, em uma coleção de quatro luxuosos volumes com sobrecapa e marcadores de página exclusivos em cada edição, incluindo conteúdo extra relevante para os fãs, como entrevistas sobre os bastidores de produção e enciclopédia dos monstros da série. Uma obra importante e nostálgica de um dos mais inesquecíveis super-heróis japoneses que o mundo já conheceu. Leia mais	22.0	15.5	6.0
