publisher,extract_at,page_link,name
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/FIRE-mang%C3%A1-2-Hideko-Mizuno/dp/655448129X/ref=sr_1_1?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-1,FIRE! (mangá volume 2 de 2)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/FIRE-mang%C3%A1-1-Hideko-Mizuno/dp/6554481389/ref=sr_1_2?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-2,FIRE! (mangá volume 1 de 2)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Estrada-graphic-novel-%C3%BAnico/dp/6554481362/ref=sr_1_3?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-3,A Estrada (graphic novel volume único)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Di%C3%A1rio-Meu-Pai-Mang%C3%A1-%C3%9Anico/dp/6554481524/ref=sr_1_4?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-4,O Diário do Meu Pai (Mangá Volume Único)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Incal-Cara-C%C3%A3o-spin-off-oficial/dp/6554481605/ref=sr_1_5?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-5,Incal: Kill Cara-de-Cão (spin-off oficial de Incal – Volume Único)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Os-Ex%C3%A9rcitos-Conquistador-Jean-Pierre-Dionnet-ebook/dp/B0CWYGC8MK/ref=sr_1_6?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-6,Os Exércitos do Conquistador
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Borboleta-Assassina-mang%C3%A1-3/dp/6554481559/ref=sr_1_7?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-7&ufe=app_do%3Aamzn1.fos.6d798eae-cadf-45de-946a-f477d47705b9,Borboleta Assassina (mangá volume 3 de 3)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/Incal-Psicoverso-spin-off-oficial-Incal-ebook/dp/B0CVCZ5P23/ref=sr_1_8?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-8,Incal: Psicoverso (spin-off oficial de Incal– Volume Único)
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/COPRA-Round-Cinco-Michel-Fiffe-ebook/dp/B0CVD19NNM/ref=sr_1_9?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-9,COPRA: Round Cinco
pipoca e nanquim,2024-04-09,https://www.amazon.com.br/COPRA-Round-Seis-Michel-Fiffe-ebook/dp/B0CVD1Y77Y/ref=sr_1_10?Adv-Srch-Books-Submit.x=38&dib=eyJ2IjoiMSJ9.ClQiHVY9kFnNeYw5dLVruL50rcFKMR6rvXSYrwcX9baxOdOn0de2T2LzU9ndYchRUG-85HFW_eMUJyX4obvv0xrslilliK9xhR8SyPGOcd5VXQ3vPaijyTrczNK8u3SWzH1_jeSGmEZ7qwGGwQ6eSVncIL6gTifDJLixtBpIapjD731yH6qsOJ4F9xDeOzv8MkesoO6V-jid59hdrweCjhsWq4ne-G2GlfzRu5KM5wE.yycRrKtk2pBZ49EU0Gf1eaGeH-pysXtQ-bZ7UFbk3do&dib_tag=se&qid=1712663701&refinements=p_30%3Apipoca+e+nanquim&s=books&sr=1-10,COPRA: Round Seis
